Seconds,Data,value,Altitude
1436027900,Distance,16.982616351410556,24.633333333333336
1436027900,Heart Rate,67.0,24.633333333333336
1436027900,Pace,3.2342379565015396,24.633333333333336
1436027910,Distance,35.78771950154351,25.786
1436027910,Heart Rate,74.0,25.786
1436027910,Pace,2.804679099312035,25.786
1436027920,Distance,62.62332004201382,28.751000000000005
1436027920,Heart Rate,88.0,28.751000000000005
1436027920,Pace,2.514644368213612,28.751000000000005
1436027930,Distance,87.45886568907756,30.642000000000003
1436027930,Heart Rate,103.5,30.642000000000003
1436027930,Pace,2.697190967731153,30.642000000000003
1436027940,Distance,115.0584666281505,32.489
1436027940,Heart Rate,114.5,32.489
1436027940,Pace,2.492154171410951,32.489
1436027950,Distance,139.05877817939088,33.620999999999995
1436027950,Heart Rate,127.0,33.620999999999995
1436027950,Pace,2.473245452481902,33.620999999999995
1436027960,Distance,166.89712583704488,33.968
1436027960,Heart Rate,143.0,33.968
1436027960,Pace,3.0611072757086246,33.968
1436027970,Distance,197.78843840469364,33.354
1436027970,Heart Rate,149.0,33.354
1436027970,Pace,3.186971274143846,33.354
1436027980,Distance,226.2887077124651,32.477000000000004
1436027980,Heart Rate,154.0,32.477000000000004
1436027980,Pace,2.6906722972482555,32.477000000000004
1436027990,Distance,257.57675926384275,31.641000000000002
1436027990,Heart Rate,156.0,31.641000000000002
1436027990,Pace,3.0228541120979857,31.641000000000002
1436028000,Distance,282.4463286048036,28.738999999999997
1436028000,Heart Rate,156.0,28.738999999999997
1436028000,Pace,2.28293363108952,28.738999999999997
1436028010,Distance,308.46366461900317,26.500999999999998
1436028010,Heart Rate,157.5,26.500999999999998
1436028010,Pace,2.9196182964444346,26.500999999999998
1436028020,Distance,336.7169586671396,26.873
1436028020,Heart Rate,148.0,26.873
1436028020,Pace,2.7224097877356828,26.873
1436028030,Distance,364.641839333636,27.052999999999997
1436028030,Heart Rate,147.5,27.052999999999997
1436028030,Pace,2.9430895160717854,27.052999999999997
1436028040,Distance,395.97929236055,25.840000000000003
1436028040,Heart Rate,146.0,25.840000000000003
1436028040,Pace,3.1755556162212146,25.840000000000003
1436028050,Distance,425.7938575771195,28.137999999999998
1436028050,Heart Rate,155.5,28.137999999999998
1436028050,Pace,2.6883836913589847,28.137999999999998
1436028060,Distance,447.3012307420151,27.319
1436028060,Heart Rate,159.0,27.319
1436028060,Pace,2.160233367562404,27.319
1436028070,Distance,477.5421809916893,27.558999999999997
1436028070,Heart Rate,158.5,27.558999999999997
1436028070,Pace,3.3760699459201304,27.558999999999997
1436028080,Distance,507.88582862636815,25.388
1436028080,Heart Rate,161.0,25.388
1436028080,Pace,2.8365731180780074,25.388
1436028090,Distance,534.2277293356103,24.717000000000002
1436028090,Heart Rate,161.5,24.717000000000002
1436028090,Pace,2.51710906023643,24.717000000000002
1436028100,Distance,561.665130425454,24.395
1436028100,Heart Rate,168.5,24.395
1436028100,Pace,2.825282755810315,24.395
1436028110,Distance,593.0381687804218,26.28
1436028110,Heart Rate,164.0,26.28
1436028110,Pace,3.1578737013866203,26.28
1436028120,Distance,618.6876577247912,26.588
1436028120,Heart Rate,164.0,26.588
1436028120,Pace,2.339023778674277,26.588
1436028130,Distance,644.3311121504631,25.406000000000002
1436028130,Heart Rate,162.5,25.406000000000002
1436028130,Pace,2.81649619836777,25.406000000000002
1436028140,Distance,676.7835410078253,25.494999999999997
1436028140,Heart Rate,157.5,25.494999999999997
1436028140,Pace,3.495969478594566,25.494999999999997
1436028150,Distance,708.796086890644,24.629
1436028150,Heart Rate,154.0,24.629
1436028150,Pace,3.05776996145039,24.629
1436028160,Distance,738.9997077357099,24.999000000000002
1436028160,Heart Rate,157.5,24.999000000000002
1436028160,Pace,2.958579288027681,24.999000000000002
1436028170,Distance,768.5272397490982,24.909000000000002
1436028170,Heart Rate,157.5,24.909000000000002
1436028170,Pace,2.956395956062579,24.909000000000002
1436028180,Distance,799.0821285810144,25.033000000000005
1436028180,Heart Rate,156.5,25.033000000000005
1436028180,Pace,2.959533656622534,25.033000000000005
1436028190,Distance,827.1421923940849,24.993999999999996
1436028190,Heart Rate,154.0,24.993999999999996
1436028190,Pace,2.683787274457052,24.993999999999996
1436028200,Distance,853.6046003198917,26.052999999999997
1436028200,Heart Rate,152.5,26.052999999999997
1436028200,Pace,2.6103184091927347,26.052999999999997
1436028210,Distance,876.5300995924403,27.57
1436028210,Heart Rate,155.5,27.57
1436028210,Pace,2.378996794188333,27.57
1436028220,Distance,905.3194548237345,28.113999999999997
1436028220,Heart Rate,156.5,28.113999999999997
1436028220,Pace,3.027010479741807,28.113999999999997
1436028230,Distance,936.165187422392,28.290000000000003
1436028230,Heart Rate,156.0,28.290000000000003
1436028230,Pace,3.0529326952703286,28.290000000000003
1436028240,Distance,966.3257465424549,28.304000000000002
1436028240,Heart Rate,156.5,28.304000000000002
1436028240,Pace,3.146098999113235,28.304000000000002
1436028250,Distance,997.9087154882873,29.878999999999998
1436028250,Heart Rate,157.5,29.878999999999998
1436028250,Pace,2.7015846312394047,29.878999999999998
1436028260,Distance,1026.5066250754253,31.741000000000003
1436028260,Heart Rate,158.0,31.741000000000003
1436028260,Pace,2.7390604973148927,31.741000000000003
1436028270,Distance,1051.8286152698743,32.558
1436028270,Heart Rate,158.0,32.558
1436028270,Pace,2.7182742897156915,32.558
1436028280,Distance,1081.6417316040604,33.84499999999999
1436028280,Heart Rate,160.5,33.84499999999999
1436028280,Pace,3.0497937454844304,33.84499999999999
1436028290,Distance,1110.3727850139953,35.047
1436028290,Heart Rate,161.0,35.047
1436028290,Pace,2.6020131628112724,35.047
1436028300,Distance,1138.0721548890992,34.721000000000004
1436028300,Heart Rate,163.0,34.721000000000004
1436028300,Pace,3.0507227887921315,34.721000000000004
1436028310,Distance,1163.516859886449,34.397
1436028310,Heart Rate,164.5,34.397
1436028310,Pace,2.2415604542972005,34.397
1436028320,Distance,1190.443416927517,33.724
1436028320,Heart Rate,164.0,33.724
1436028320,Pace,2.8193734642185975,33.724
1436028330,Distance,1212.0385587828519,33.708
1436028330,Heart Rate,163.0,33.708
1436028330,Pace,1.4419548541301992,33.708
1436028340,Distance,1223.9849823386303,34.047999999999995
1436028340,Heart Rate,163.5,34.047999999999995
1436028340,Pace,1.5577846168861242,34.047999999999995
1436028350,Distance,1239.3184497028583,30.672999999999995
1436028350,Heart Rate,160.5,30.672999999999995
1436028350,Pace,1.0668858936829566,30.672999999999995
1436028360,Distance,1250.1867767452952,30.215000000000003
1436028360,Heart Rate,162.5,30.215000000000003
1436028360,Pace,1.0629756438963114,30.215000000000003
1436028370,Distance,1266.2490678057482,30.137999999999998
1436028370,Heart Rate,164.0,30.137999999999998
1436028370,Pace,2.2312449120120164,30.137999999999998
1436028380,Distance,1289.6930875554422,29.787
1436028380,Heart Rate,166.0,29.787
1436028380,Pace,2.228476097678322,29.787
1436028390,Distance,1314.9584209536865,29.557
1436028390,Heart Rate,166.0,29.557
1436028390,Pace,2.987251945613798,29.557
1436028400,Distance,1336.9525477434283,32.206
1436028400,Heart Rate,167.5,32.206
1436028400,Pace,1.4954102044298678,32.206
1436028410,Distance,1353.5301385617115,30.767000000000003
1436028410,Heart Rate,167.5,30.767000000000003
1436028410,Pace,1.8104180389455677,30.767000000000003
1436028420,Distance,1374.1490715624361,32.708000000000006
1436028420,Heart Rate,168.0,32.708000000000006
1436028420,Pace,2.5659627300777172,32.708000000000006
1436028430,Distance,1402.6233936461797,34.632000000000005
1436028430,Heart Rate,170.0,34.632000000000005
1436028430,Pace,2.662158626435553,34.632000000000005
1436028440,Distance,1428.4375011573359,34.023
1436028440,Heart Rate,170.5,34.023
1436028440,Pace,2.728870441463164,34.023
1436028450,Distance,1458.1542498795575,32.293
1436028450,Heart Rate,171.0,32.293
1436028450,Pace,3.0464833825273443,32.293
1436028460,Distance,1486.4874612078665,35.536
1436028460,Heart Rate,171.5,35.536
1436028460,Pace,2.624299272322787,35.536
1436028470,Distance,1509.729314795421,47.242000000000004
1436028470,Heart Rate,172.0,47.242000000000004
1436028470,Pace,2.0553471426835586,47.242000000000004
1436028480,Distance,1527.2488891812286,52.157
1436028480,Heart Rate,172.5,52.157
1436028480,Pace,1.875724494158294,52.157
1436028490,Distance,1555.0112408949522,51.359
1436028490,Heart Rate,170.5,51.359
1436028490,Pace,2.842052674021147,51.359
1436028500,Distance,1578.3737838765576,52.935
1436028500,Heart Rate,168.5,52.935
1436028500,Pace,2.1807560548395486,52.935
1436028510,Distance,1598.7852550229595,52.076
1436028510,Heart Rate,171.5,52.076
1436028510,Pace,2.0730701159843647,52.076
1436028520,Distance,1622.3147442801182,61.49400000000001
